country,region,rank,score,gdp,support,health,freedom,generosity,corruption,year
Switzerland,Western Europe,1,7.587000,1.396510,1.349510,0.941430,0.665570,0.296780,0.419780,2015
Iceland,Western Europe,2,7.561000,1.302320,1.402230,0.947840,0.628770,0.436300,0.141450,2015
Denmark,Western Europe,3,7.527000,1.325480,1.360580,0.874640,0.649380,0.341390,0.483570,2015
Norway,Western Europe,4,7.522000,1.459000,1.330950,0.885210,0.669730,0.346990,0.365030,2015
Canada,North America,5,7.427000,1.326290,1.322610,0.905630,0.632970,0.458110,0.329570,2015
Finland,Western Europe,6,7.406000,1.290250,1.318260,0.889110,0.641690,0.233510,0.413720,2015
Netherlands,Western Europe,7,7.378000,1.329440,1.280170,0.892840,0.615760,0.476100,0.318140,2015
Sweden,Western Europe,8,7.364000,1.331710,1.289070,0.910870,0.659800,0.362620,0.438440,2015
New Zealand,Australia and New Zealand,9,7.286000,1.250180,1.319670,0.908370,0.639380,0.475010,0.429220,2015
Australia,Australia and New Zealand,10,7.284000,1.333580,1.309230,0.931560,0.651240,0.435620,0.356370,2015
Israel,Middle East and Northern Africa,11,7.278000,1.228570,1.223930,0.913870,0.413190,0.331720,0.077850,2015
Costa Rica,Latin America and Caribbean,12,7.226000,0.955780,1.237880,0.860270,0.633760,0.254970,0.105830,2015
Austria,Western Europe,13,7.200000,1.337230,1.297040,0.890420,0.624330,0.330880,0.186760,2015
Mexico,Latin America and Caribbean,14,7.187000,1.020540,0.914510,0.814440,0.481810,0.140740,0.213120,2015
United States,North America,15,7.119000,1.394510,1.247110,0.861790,0.546040,0.401050,0.158900,2015
Brazil,Latin America and Caribbean,16,6.983000,0.981240,1.232870,0.697020,0.490490,0.145740,0.175210,2015
Luxembourg,Western Europe,17,6.946000,1.563910,1.219630,0.918940,0.615830,0.280340,0.377980,2015
Ireland,Western Europe,18,6.940000,1.335960,1.369480,0.895330,0.617770,0.459010,0.287030,2015
Belgium,Western Europe,19,6.937000,1.307820,1.285660,0.896670,0.584500,0.222500,0.225400,2015
United Arab Emirates,Middle East and Northern Africa,20,6.901000,1.427270,1.125750,0.809250,0.641570,0.264280,0.385830,2015
United Kingdom,Western Europe,21,6.867000,1.266370,1.285480,0.909430,0.596250,0.519120,0.320670,2015
Oman,Middle East and Northern Africa,22,6.853000,1.360110,1.081820,0.762760,0.632740,0.215420,0.325240,2015
Venezuela,Latin America and Caribbean,23,6.810000,1.044240,1.255960,0.720520,0.429080,0.058410,0.110690,2015
Singapore,Southeastern Asia,24,6.798000,1.521860,1.020000,1.025250,0.542520,0.311050,0.492100,2015
Panama,Latin America and Caribbean,25,6.786000,1.063530,1.198500,0.796610,0.542100,0.244340,0.092700,2015
Germany,Western Europe,26,6.750000,1.327920,1.299370,0.891860,0.614770,0.282140,0.218430,2015
Chile,Latin America and Caribbean,27,6.670000,1.107150,1.124470,0.858570,0.441320,0.333630,0.128690,2015
